feature,shap_mean_abs,category
age_offense,0.31141192,individual
prior_score,0.22219111,individual
prior_misdemeanor,0.22083205,individual
prior_criminal_traffic,0.16627617,individual
time_to_judgment,0.13180304,individual
highest_severity,0.0796384,individual
sex_encoded,0.07344393,individual
pct_hisp,0.05832839,neighborhood
med_hhinc,0.046779994,neighborhood
pct_food_stamps,0.038109798,neighborhood
prior_felony,0.03739907,individual
pct_black,0.032175146,neighborhood
urban_gradient,0.03025112,neighborhood
violent_crime,0.027377993,individual
pct_male,0.022249566,neighborhood
avg_hist_jail,0.0178013,individual
SEDI,0.016652709,neighborhood
pop_dens,0.012268733,neighborhood
pct_rural,0.0114672845,neighborhood
max_hist_jail,0.011092548,individual
pct_somecollege,0.010750554,neighborhood
pct_urban,0.010477332,neighborhood
pct_college,0.009521648,neighborhood
has_prior_jail,0.0024896527,individual
flag_negative_time_to_judgment,1.756516e-05,individual
